Film Name,Year,Duration,Ratings,Number of Rators,Summary,Votes
2835. Om Jai Jagadish,2002,2h 52mNot Rated,5.5, (2.1K),"Widowed Mrs. Saraswati Batra (Waheeda Rehman) has brought up three sons with a lot of care and love. Her eldest son Om (Anil Kapoor) is very honest and diligent; her two other sons Jai (Fardeen Khan), and Jagdish (Abhishek Bachchan) also live in the same house. Om looks after the family, and also looks after the business and the estate. Jai's interest is fast cars, and to the much disappointment of his family, decides to re-locate the United States of America, and gets married to a rich and snobish girl, Neetu (Urmilla Matondkar). Her mother (Lilette Dubey) strongly disapproves of Jai, and vehemently, though in vain, opposes the marriage. To make matters worse, Jai gets a job in the U.S. in a vehicle junkyard, much to the horror of his wife and his family. Jai must use this junkyard so that he can make the fastest car in the world. Jagdish is the spoiled brat of the family. He gets into trouble with the law, when he starts hacking computer data. This brings shame on the entire family, and causes a loss of goodwill and profits, and results in the takeover of the estate by Shekhar Malhota, a close friend of the family. Now all the three brothers, their respective wives, and Mrs. Batra herself will have to come together to try and salvage what they can of their family business and estate. That is if they find time to do so from their very own personal problems and commitments.","2,110"
2836. Taqdeer,1983,2h 5m,5.8, (106),"Widower Pratap Singh lives a wealthy lifestyle along with two married sons, Randhir and Ranvir. While Ranvir's wife continues to be childless, Randhir has a daughter, and his wife is expecting a second child. Pratap wants Randhir to invest the family's gold and jewelry, which are hidden underneath the Mandir of Bhagwan Shri Shivji, in a foreign country, but Randhir refuses, arguments ensue, Randhir moves out, and starts his own business, a coal mine. Shortly thereafter, there is an accident in the mines, over 300 miners are killed. The Police arrest Randhir, he is tried in Court, found guilty, and sentenced to 20 years in prison. After his term ends, he is discharged and will soon find out that his wife and father are dead, his second child is missing believed to be dead, a prostitute has taken over the identity of his daughter, and a hoodlum, Shiva, is waiting to kill him.",106
2837. Asambhav,2004,2h 19m,3.7, (643),"When the President of India is kidnapped by Kashmiri terrorists in Locarno, Switzerland, an Indian secret agent is sent to find him and set him free. With the help of an Indian singer he will make the ""Impossible"" to complete the mission.",643
2838. RK/RKAY,2021,1h 35m,7.0, (399),"RK is a filmmaker, making a new film, in which he also plays the lead character of Mahboob. Its a quaint film, like a tribute to the cinema of the sixties. People close to him are not really sure why RK wants to make this film.. Edit begins and RK has a sinking feeling that this film is not going to come together, that this time he has really screwed up. His nightmares warn him of an impending disaster. Sure enough, one afternoon RK gets a call from the edit room- something terrible has happened. Mahboob has run away, run out of the film. Nobody can really understand why would he leave, where would he go. But he is not there anymore in the rushes- missing from the film negative as well. The fact is Mahboob was running away from his killers, and somehow he left the film and arrived in our world. RK finds him, brings him home- but Mahboob has no idea where he is from, or that he is any different from people around him. Slowly, he is told. They must convince him to go back to the film, so that RK can finish his film.",399
2839. Maharana Pratap: The First Freedom Fighter,2012,2h 25m,5.7, (140),"Maharana Pratap's clashes with Akbar and Man Singh I, which caused the battle of Haldighati.",140
2840. The Royal Bengal Tiger,2014,1h 50m,6.8, (1K),"A soft spoken, timid person changes drastically after he comes across his old friend .","1,022"
2841. The Great Gambler,1979,2h 41m,6.4, (715),"After unwittingly using his skills to obtain military secrets, a gambler is pursued by a police officer who happens to be his doppelganger.",715
2842. Tumsa Nahin Dekha,1957,2h 36mNot Rated,6.7, (144),"Twenty years ago, after killing his brother, Sardar Rajpal flees from his hometown in Shillong and re-locates in the rural area of Assam along with his adopted daughter, Meena. He asks his wife, Kamla, to send their son, Shankar, so that he can employ him and get him married to Meena. Shankar arrives and he is welcomed by Sardar who employs him and introduces him to Meena. A few days another young man shows up at his door claiming that he is Kamla's son. A baffled Sardar also welcomes him, and puts both the young men under observation in order to find who the real Shankar is. The question remains why would anyone want to impersonate Shankar, and what will happen to Sardar himself after the Police catch up with him for killing his brother 20 years ago.",144
2843. Barood,1998,2h 39mNot Rated,4.3, (696),"Jai, a police officer embarks on the mission to eliminate his enemies, who destroyed his life.",696
2844. Gaman,1978,1h 59mNot Rated,7.4, (229),"In order to improve their lifestyle, Lucknow based Ghulam Hussain decides to re-locate to Bombay, leaving his ailing mother and wife, Khairun, behind. He arrives in Bombay, and looks up his close friend, Lalulal Tiwari, who gets him a job cleaning taxis. Ghulam subsequently learns how to drive, and is hired to drive a taxi. Despite of his best efforts he is unable to save enough money to visit Lucknow. Lalulal has problems of his own, despite of being settled in Bombay for several years; having a sweetheart, Yashodra, he is unable to even rent a decent apartment, and lives in a shanty tenement, which is slated to be demolished by the Bombay Municipal Corporation. Will Lalulal and Ghulam be able to improve their lives or will they be caught up in just surviving on a day to day basis?",229
2845. Unees Bees,1980,2h 5m,6.0, (20),Siblings get separated in childhood. After years they faced each other as rivals.,20
2846. Yeh Raaste Hain Pyaar Ke,2001,2h 29mNot Rated,4.0, (800),"Two con artistes and car thieves, Vicky (Ajay Devgan) and Sakshi (Preity Zintar) run afoul of Bhanwarlal (Deep Dhillon) and his mob, when they accidentally kill his brother. Bhanwarlal and his other brother (Mayur) both swear to avenge the death of their brother and mistakenly kill Rohit Verma (also Ajay Devgan), who is a look-alike of Vicky. Sakshi thinks that her love is dead and is devastated. Unknown to Sakshi and Bhanwarlal, Vicky is still alive and has taken the place of Rohit, fooling Rohit's dad, Pratap Verma (Vikram Gokhale); Rohit's wife, Neha (Madhuri Dixit), little knowing that Pratap Verma already knows that Rohit is dead, but for some strange and mysterious reason permits Vicky to continue with the impersonation.",800
2847. 16 December,2002,2h 38mNot Rated,6.9, (1.4K),Indian intelligence agents race against time to stop a renegade Pakistani terrorist from detonating a nuclear weapon in Delhi.,"1,363"
2848. Chhorii 2,N/a,,N/a,,"Follows Sakshi, a pregnant woman who moves with her husband to a new home. The ghosts of children who were slaughtered by their parents roam the house. Sakshi needs to figure out a means to keep the spirits away from her pregnant child.",N/a
2849. Khel,1992,2h 32m,6.2, (616),"Widowed and elderly industrialist Sulakshana Devi allows her business and estate to be taken care of by her nephew, Balwant. Shortly after her return from the overseas her only son, Ravi gets killed in a car accident planned by Balwant as he has an agenda of acquiring her estate and propriety. The news of Ravi's death devastates and leaves Sulakshana in a state of shock after which she recovers only to meet a pregnant woman named Kamini who claim that she is carrying Ravi's child. Sulakshana disbelieves this and asks Kamini to leave; after Kamini's departure one of Ravi's friend, Sanjay Gupta confirms the fact that Ravi and Kamini did have a relationship. Sulakshana then send her men to man-hunt for Kamini but to no avail. Several years later Suakshana is approached by a young woman named Seema who is claiming that she is Ravi's progeny only to be accepted by Sulakshana. But what Sulakshana does not know is that she will soon meet Seema's uncle who both plans to con her into blindly signing away all her property and estate in their name whiles on the other hand a male name Arun Kumar who is her new estate assistant and another fake who in reality is her real grandchild. Unfortunately Balwant has plans to strike again this time by killing all of them so that he can finally inherit all the family's assets.",616
2850. Mere Apne,1971,2h 44mNot Rated,7.6, (629),"Anandi Devi is an old widow living in her village she is bought to the city by her distant relative Arun. Anandi Devi realizes that Arun and his wife wanted to keep her as a maid following which she leaves the house and befriends a child beggar and start living in a dilapidated house. Due to her kind and good nature she is then called as Naani Maa by youth groups which are led by Shyam and Chhenu. Shyam and Chhenu are rivals of each other and can't see eye to eye, Anandi Devi tries to be peacemaker between them.",629
2851. Anita,1967,2h 34m,6.3, (157),"After his ex-fiancée's sudden and mysterious suicide, a jilted bridegroom seeks answers. What he finds, makes him question if he ever really knew her. And then he begins to see her face everywhere he goes.",157
2852. Swarag Se Sunder,1986,,5.2, (138),"Vijay is the head of the village living with his wife Laxmi he is looked with respect by everyone in village for the changes he has done to his village but Milavat Ram and Paanalal are jealous of him. Laxmi is childless for years and is taunted by villagers she and Vijay have taken care of his younger brother Ravi as their son he is in love with Lalita daughter of Milavat Ram after many obstacles they get married and Lalita soon gets pregnant around the same time Laxmi also gets pregnant.But Lalita looses her child in hospital and is in serious condition,Laxmi whose admitted to the same hospital gives birth to a baby boy she and Vijay decide to give the baby to Lalita without anyone's knowledge to save her life. Laxmi and Lalita decide to raise the baby together.But Pannalal and Milavat Ram create a rift in their family.",138
2853. Dracula 2012,2013,2h 17m,2.1, (185),"While on his honeymoon in Romania, a man visits the Bran Castle and upon his return to the hotel, kills his bride. He then returns to his homeland and begins to hunt for new victims.",185
2854. Total Chaos,2014,1h 48mNot Rated,5.0, (3K),"A young musician hopes to marry his beautiful Indian girlfriend, but his plans hit a snag when her family learns he's Pakistani.","3,049"
2855. Ruslaan,2024,,N/a,,Plot under wraps.,N/a
2856. Bhagwan Bharose,2023,1h 34m,7.3, (308),"A story about two young, impressionable kids whose ideas about faith are constantly questioned and changed as their little world expands and takes into its fold, their country's fast-changing socio-political landscape.",308
2857. Janaki Jaane,2023,2h 1m,6.0, (548),"Struggling with panic disorder, Janaki is ecstatic when Unni Mukundan proposes to marry her. Things go south when Janaki's fears land her in serious trouble.",548
2858. Dance Party,1995,2h 4mNot Rated,2.7, (34),"Sweety meets Sanjay and both fall in love with each other. After dating for a while, they attend to a party where Sweety gets to see the true colors of an intoxicated and flirtatious Sanjay, making her wonder if he really is her true love.",34
2859. Zamane Se Kya Darna,1994,2h 52mNot Rated,5.6, (85),"Virendra Singh lives wealthy lifestyle in Bommbay, India, along with his wife, Shalini, and son, Vikram. He gambles on Diwali, loses all his money, borrows a large amount from his friend, Gajendra Singh, ends up losing this too, and returns home along with Gajendra and his brother to try and repay as much as he can. When Gajendra's brother attempts to molest Shalini, Virendra's kills him and flees. He boards a bus which meets with an accident, leaving only two survivors - himself and a young heiress named Anju. He adopts her, looks after her estate and assumes a new name, Sardar Rajpal, and becomes wealthy over time. Years later Anju has grown up and finds out about her foster father's tragic story and decides to try and re-unite this family. She posts two advertisements in Bombay's newspapers, to hire an Estate Manager, as well as asking for the whereabouts of Shalini and Vikram. Little does she know that she has opened up a Pandora's box for the advertisements were read by none other than Gajendra and his son, Shakti, who are well aware that Virendra's wife and son had both perished in a fire that engulfed their residence on that very night - and now they are poised to re-enter Virendra's life - with Shakti re-naming himself Vikram with a view of marrying Anju, inheriting her wealth and then the duo plan to kill Virendra to avenge the death of their brother and uncle respectively.",85
2860. Cheluvi,1992,1h 42m,8.4, (103),"Cheluvi, a poor young woman, has a secret magical power. With the magic, she turns into a tree which produces exotic flowers. Soon, her secret is spotted by Kumar, the son of the village head.",103
2861. M.... Matric Pass,2014,1h 58m,4.1, (17),A film about an Innocent Girl trapped in Delhi Sex Scandal,17
2862. Lady Tarzan,1990,,5.2, (15),"Raised by compassionate wild animals as one of their own, a helpless eight-year-old girl grows into a beautiful, untamed woman and becomes Lady Tarzan: the fearless Queen of the Elephants.",15
2863. Pyasi Chudail,1998,,6.5, (10),N/a,10
2864. Ek Niranjan,2009,2h 30mNot Rated,5.4, (1.2K),"A bounty hunter searches for the family he was separated from as a child, and falls in love with the sister of a gang member.","1,182"
2865. Ayyappa Swamy Mahatyam,1991,,8.4, (17),N/a,17
2866. Itihaas,1987,2h 18mNot Rated,4.9, (55),"Joginder, an honest police commissioner, is instrumental in arresting Alexander, a dreaded gangster. Alexander is granted bail by the court and as revenge, he molests Joginder's daughter Jyoti.",55
2867. Naqab,1989,,4.7, (37),"Imran is a professional freelance photographer. He accepts an assignment from wealthy Nawab Dada Sarkar from Alipur, and travels there by train. When he alights at Alipur, he has problems getting a ride, and decides to walk. On the way there he comes across a mysterious singing woman, when he goes towards her, she disappears. Disturbed by this turn of events, he arrives at the Nawab's house, and is met by a young woman named Asiya, who looks exactly like the mysterious woman, but denies being her. Then the mystery deepens, as Imran is thrust into a nightmare where his sanity is under question, and he repeatedly keeps on seeing the mysterious, who no one else sees. Who is this other woman? Or is Imran hallucinating?",37
2868. Swami,1977,2h 9m,6.7, (242),"After she enters into an arranged marriage, a spirited and intellectual young woman tries to adjust to life with a man who was not her choice.",242
2869. Judaa Hoke Bhi,2022,2h 1m,5.6, (1.7K),"Aman Khanna, a once successful singer, is drowning his life into alcohol, despair and self- destruction after his 6 years old son died in a freak accident. Aman's wife, Meera who has an autobiographical bestseller to her credit is trying to cope with their financial burdens and Aman's lack of responsibility.

One fine day, as in all stories, Meera is summoned by a big businessman Siddharth Jaiwardhan, to Uttarakhand where he expects her to stay and write his biography. Meera knowing the money situation at home says yes to this much lucrative task at hand. This makes Aman furious as it is their son's death anniversary in a day. The couple get into a bitter fight at the end of which Aman resolves to somehow bring money home but stops Meera from leaving for Uttarakhand.

Aman in rage and fury steps out of the house and meets with a fatal accident. The doctor tells Meera that Aman has gone into a coma for an undefined time. Meera is devastated but patiently waits for Aman. Then one day Aman wakes up. Meera who is overjoyed to get Aman back, resolves to bring Aman home and start their lives all over again. But while Meera borrows money to take care of the hospital bills she realizes Aman has hit the bottle within the confines of the hospital. At this point Meera stops chasing hope. She leaves aman to himself and leaves for the ghost writing job in Uttarakhand.

Meera reaches Binsar station, a remotely populated town in Uttarakhand. The town is quiet and eerie. Matthew, Siddharth's butler, receives Meera and takes her to Siddharth's palace. While this happens, Aman is visited by a strange blind man in his dream, Purohit. He warns him that his wife's life is in danger. Aman wakes up but soon realizes that this was not just another bad dream, it was a strange prophecy. Meera meets Siddharth Jaiwardhan, a young and handsome loner, who lives in this huge palace all by himself. But Meera doesn't know that she has stepped into the den of the devil himself. Siddharth is a soul sucking demon, who slowly seduces Meera, puts a spell on her and makes her a slave to the demon. When Aman reaches Binsar to bring back Meera he finds her almost unwilling to acknowledge him. This breaks Aman further. Siddharth is a powerful man in Binsar uses his clout and gets aman arrested to be thrown out of the town. But all is not lost in aman's heart yet. He refuses to believe that Meera could actually forget him. He puts his might together for the love which is still alive and throbbing in his heart. He takes a leap of faith and comes back to Binsar to find a way to get to Meera.

The blind Purohit and his accomplice Roohi, soon gets hold of Aman and tells him that Siddharth Jaiwardhan is a demon, who feeds on the souls of bastard children. He has been doing it for thousands of years and now Meera is his next prey to devour on. Aman now has his back against the wall as he is battling the devil. The devil, who is an ancient evil king who has been sucking on souls and never died.

Will Aman be able to save Meera, will he be able to be a husband that she always wanted. In this war of Love and Evil, will Aman be able to become a knight of Love.","1,737"
2870. Jeena Teri Gali Mein,1991,2h 24mNot Rated,5.9, (26),"Jeena Teri Gali Mein is a romantic and musical love story revolving around a couple, who are friends since their college days, and shows their trials and tribulations in life.",26
2871. Aulad,1987,,5.9, (156),"Believing his wife to be dead, a man lets a woman, who has lost her child, nurse and bring up his infant son - until he finds out that his wife is still alive, and wants the baby back at any cost.",156
2872. Billa II - Gangster Thriller Movie Dubbed in Hindi,2012,,N/a,,N/a,N/a
2873. Naar Ka Sur,2022,2h 5m,9.1, (66),A story of 12 women who fights for their rights and dignity but to achieve the same they has to face many obstacles and evil forces who tries to stop them and threaten them.,66
2874. Yash Untitled Movie,N/a,,N/a,,N/a,N/a
2875. Mr. X,N/a,,N/a,,N/a,N/a
2876. Backfire,2022,,N/a,,N/a,N/a
2877. 15 Park Avenue,2005,1h 56m,7.2, (1.1K),"An exploration of the impact of schizophrenia on a young woman and her family in today's Calcutta. The narrative pivots around the relationship of two sisters, older sister Anjali is a successful professor with a powerful personality. She is the anchoring rock for her family and carer for her sister Meethi whose progression into schizophrenia has been speed ed up by traumatic experiences. Anjali has always dominated the life of her attractive younger sister, and jealously warded off Meethi's handsome fiancé Jojo with fear of Meethi's impending illness. Years later when Meethi and Anjali are on holiday in the Hills there is a chance meeting with Jojo, now with his new wife and children. He is shocked to discover that Meethi does not now recognize him, but lives in a world visited by an imaginary husband and children of her own.","1,066"
2878. Hum Aapke Dil Mein Rehte Hain,1999,2h 48m,5.5, (1.8K),"Not knowing what consequences she would face, a woman signs a 1-year marriage contract with a business tycoon to end her family's poverty.","1,770"
2879. Sohag Raat,1948,2h 23m,7.1, (10),"When Lajjo is at her deathbed, she summons her stepson, Rahu, so that he can look after her son, Beli. Rahu does attend her residence, just before her death, assists with the funeral and offers to take Beli with him and look after him. Rahu hires a hit-man named Jaggu and instructs him to kill Beli. Jaggu is unable to kill Beli, angering Rahu to no end. Rahu then pushes Jaggu and Beli from a cliff and hopes that they have met their respective ends. Rahu then sets about to claim Lajjo's property, by hiring a man to pose as Beli. Months later, Rahu approaches a wealthy woman for her only daughter's (Parvati) hand in marriage. While Paro's mother approves of Rahu, Paro is in love with someone else. While her mother finds out that she is in love with a mere employee, she dismisses him, and make arrangements for her marriage with Rahu. Watch the suspense and the climax unfold as Rahu prepares to get married to Paro, with the assurance that no one can ever get in his way.",10
2880. Insaaf Apne Lahoo Se,1994,2h 20mNot Rated,4.7, (64),"After his wife passes away, wealthy Advocate Mahendrapratap Singh re-marries a widow named Geeta, who has a young son named Devilal alias Devi. Mahendrapratap dislikes Devi to such an extent that one day he asks Geeta to make a choice between her son and him. Devi decides to leave so that his mother can have a secure life, but threatens Mahendra that he will be back to avenge this humiliation. Shortly thereafter, Judge Saxena is killed, a pregnant Geeta is arrested, charged with killing him, with Saxena's wife, Roopa, and Mahendrapratap testifying against her, she is sentenced to 14 years in prison. In prison she gives birth to a son, calls him Raja alias Raju and right from his infancy trains his young mind to hate Mahendrapratap, so that when he grows up he will avenge her humiliation. The question remains, will Raju be able to carry out this vengeance against his biological father or does fate have other plans for him?",64
2881. Hawaa Hawaai,2014,2hNot Rated,7.3, (1.8K),Arjun dreams of skating. Can Arjun follow his dream and be a champion?,"1,820"
2882. Mayasabha,N/a,,N/a,,N/a,N/a
2883. Bun Tikki,N/a,,N/a,,N/a,N/a
2884. A Place of Our Own,2022,1h 28m,7.7, (19),Laila and Roshni are looking for a house after they are evicted from the place they rented. It soon becomes evident that their search for a home is also their ongoing search for a place in this society.,19
2885. Blackout,2h 2,m,N/a,,N/a,N/a
2886. Yugandhar,1993,,7.5, (60),"Col. Kanir (Kabir Bedi) is brought into a rural area of India by a corrupt Collector (Dalip Tahil) under the false pretend that Kishen Daku (Mithun Chakraborty) has committed crimes and murder. Upon taking action against Kishen Daku, or Krishna as he is really known re-tells, Col. Kanir learns the story of Krishna's youth, one where Gora Thakur (Mangal Dhillon) and Kasturilal (Paresh Rawal) tried to exploit the people of the land.",60
2887. Bhavai,2021,1h 54m,5.9, (2.2K),"Bhavai, also known as Vesha or Swang, is a popular folk theatre form of western India, especially in Gujarat. The film is set against the backdrop of folk art form Bhavai. Basically a dramatic entertainer, it tells the story of two lovers in the village of Khakhar, where they are portraying two characters in Ramlila.","2,198"
2888. Meri Nimmo,2018,1h 30mNot Rated,7.0, (327),"The story revolves around Nimmo (Patil), who is soon to be wed. Her only friend, and constant companion is a little boy (Dave) who also has a massive crush on her. While the little boy's innocence prevents him from understanding the complications of marriage, it does not prevent him from trying some wacky ideas to keep his love from marrying someone else.",327
2889. The Golden Thread,2022,1h 30m,8.2, (30),"Outside Kolkata a few jute mills crank on, virtually unchanged since the industrial revolution. Powered by steam and sweat, work is a dance to the dictate of profit and century-old machines. The Golden Thread follows the weft and warp of jute work alongside the creative labour of the film's own making. In this near dystopian industrial town can there be a potential for a collective re-imagination?",30
2890. Himmat,1996,2h 18mNot Rated,4.5, (252),"Two Indian secret agents, Ajay and Abdul, share a brotherly bond. However, when Abdul is killed in the line of duty, the mission is handed over to Ajay, who decides to avenge his friend's death.",252
2891. Thakshak,1999,2h 43m,6.0, (687),A man's (Ajay Devgan) loyalty to his underworld friend (Rahul Bose) interferes with his relationship with a dancer (Tabu) who hates violence.,687
2892. Ajanabee,1974,2h 19mNot Rated,6.5, (225),"Pregnant Reshmi decides not to have the baby after she wins a beauty pageant. But her husband Rohit doesn't agree, so she walks out of the marriage. Now, Rohit must try to win her back.",225
2893. The Dirty Relation,2013,2h 1m,3.6, (15),N/a,15
2894. Hamrahi,1963,2h 29mNot Rated,6.7, (45),"Shekhar marries Sharda, but soon he is arrested by the police for the murder of a woman named Hemlata, with whom he was involved. He is later tried in the court by his disapproving father.",45
2895. Nayee Padosan,2003,2h 16m,5.5, (430),"Three young men, who are all of a marriageable age, get their hopes up on marriage, when a beautiful young woman comes to live in their neighbourhood. All three of them try a hand at romancing her, and only one succeeds.",430
2896. Marte Dam Tak,1987,2h 35mNot Rated,4.8, (140),"Marte Dam Tak a 1987 Indian Hindi film, directed by Mehul Kumar. The film stars Govinda, Raaj Kumar and Farha in lead roles. The film had musical score by Ravindra Jain.",140
2897. Anjaneyulu,2009,2h 23mNot Rated,4.9, (441),A news reporter joins a gang incognito to expose corrupt politicians as well as find out who killed his parents.,441
2898. Quotation Gang,N/a,,N/a,,The film revolves around a bold female contract killer. She takes up the crime syndicate and fights for power. An incident changed her life upside down.,N/a
2899. Zinda Dil,1975,2h 5m,7.0, (66),"This is the story of two brothers and a father. The brothers are twins Arun Sharma, and Kewal Sharma (both played by Rishi Kapoor), and the father is Major Hemraj Sharma (Pran), a war veteran who became disabled in the last war, and has to rely on crutches to walk. The Major has a soft corner for Kewal, but shows open disapproval of Arun, thus alienating him. He constantly asks Arun to make sacrifices for Kewal, including giving up his love, Rekha (Zaheera). Heartbroken Arun leaves his father's home and meets an old acquaintance who he had saved from committing suicide, Jyoti (Neetu Singh). Jyoti gets Arun a job at her dad's (Pinchoo Kapoor) Diwan Pratap chand's hotel. Here Arun meets with a hotel waiter who tells him that his mother is still alive. Arun is shocked to note this and asks his mother to accompany him to confront his father. Was Arun's father really that cold-hearted to let go of his wife, and keep this secret from his sons?",66
2900. Shaitani Ilaaka,1990,2h 8m,5.0, (72),"An evil sorceress feeds the blood of new brides to a Shaitan, an ancient and fearsome demon.",72
2901. Rani ka raja,2020,,N/a,,Social and family pressure leads a man to hire a hooker to pretend as his wife. Everything was going well until the man's old rival an Inspector raids his house and finds the details of the hooker. The Inspector later hires that hooker to solve his conflict. But as its said every fortune comes with some bad blood that the hooker later realizes but there was no turning back.,N/a
2902. Andaz Tera Mera,2023,,N/a,,"Andaz Tera Mera is a Hindi comedy film, directed by Kumud Pant.Stars Kumud Pant , Atul Sharma, Abdul Zafar and Dimple Kumar.",N/a
2903. Ek Ajnabee,2005,2h 22mNot Rated,5.3, (1.8K),"Suryaveer, an ex-army officer, is assigned the task of protecting a young girl, Anamika. When Anamika gets kidnapped, he decides to use all his skills to rescue her.","1,774"
2904. Baa Baaa Black Sheep,2018,1h 43m,6.2, (2.9K),"Baa Baa Black Sheep is the story of Baba, who is still trying to find his bearings. Baba's father, Charudutt Sharma who is a boring Cashew nut dealer for everyone, reveals to a shocked Baba on his 25th birthday that actually they are a family of hit men since the past 12 generations, and now Baba has to take over as the 13th. On the other hand, Baba's love interest Angelina runs a Beach Cafe. Her father Brian Morris is a retired art teacher, but fuels his greed for money and excitement, by selling fakes of an old Renoir painting that his family has inherited. With Baba and Angelina, both keeping their respective secrets, problems start when Kamya, an art gallery owner, wants the original Renoir and blackmails the Home Minister, Utpal Shivalkar for it. Drugs, Contract killings and blackmail account for ACP Shivraj entering the scene trying to find out the connection between all the chaos.","2,910"
2905. Kismat,2004,2h 23mNot Rated,4.1, (531),"Tony works as a hit-man for gangster, Vikas Patil, who owes his allegiance to wealthy Raj Mallya. Raj Mallya is involved in marketing spurious and out-dated drugs, and as a result is the subject of an investigation by the Food & Drugs Administration's inspector Dr. Hargobind Gosai. Raj asks Vikas to take care of Hargobind through Tony, which Tony does, and in this manner, Raj is absolved of all wrong-doing. Then Tony meets with attractive starlet named Sapna, and falls head over heels in love with her. When Sapna tells him that she is engaged to be married to Dr. Ajay Saxena, he is heart-broken. Then a scandal breaks out, and Hargobind is implicated in the deaths of three children that were killed by Raj's spurious drugs. All the evidence points against Hargobind, and not a single lawyer is willing to take his case; his wife kills herself, and the marriage of his daughter has been canceled. Then Tony finds out that Hargobind is none other than Sapna's dad - and he has ruined the only chance he had for marrying the girl of his dreams.",531
2906. Mahavir Karna,N/a,,N/a,,The film is based on the Indian epic Mahabharata with the story centered upon Karna.,N/a
2907. GRADE,2017,1h 4m,6.7, (29),"Grade is first ever film made in India to address Films classification Subject. Grade is a story of girl Sapna and her struggle to get work and act in films. Film gives message- Films should be classified on age, not on Grade. Arts/Entertainment should not be divided into Grade.",29
2908. My Dear Kuttichaathan,1984,1h 36m,7.8, (498),"Two boys and a girl befriend Kuttichathan by accident and release him from the grip of the magician. On the way Kuttichathan meets Ashish, a member of the police, who is after Karimbhootham. They understand that this Chathan is friendly to kids and is a very good friend. Therefore, the girl promises to keep Kuttichathan in a house for two reasons: one, her father drinks too much, so she wants Chathan, who is a very good magician, to make him himself, as her mother has died, there is no one to control him; second, Chathan, being a small boy, also drinks a lot. He could drink all that her father drinks, thereby changing her father's attitude. At the same time, the cruel magician wants the Kuttichathan to lay hands on a treasure.",498
2909. Kaanchli Life in a Slough,2020,1h 41m,4.9, (113),"The immensely beautiful Kajri gets her heart-broken when her husband leaves her to fight alone with the world so to test her husband's feelings towards her, she puts up an act to learn the truth.",113
2910. Baap Numbri Beta Dus Numbri,1990,2h 32mNot Rated,6.1, (368),A father and son are conning the whole city of Bombay.,368
2911. Deceptive Diva,2023,,N/a,,"A head-strong girl, raised by a lady-don, aspires to make it big in the world of glamour; only to discover secrets about her gruesome past.",N/a
2912. Desh Drohi,2008,2h 20mNot Rated,1.2, (6.4K),"Raja arrives in Mumbai looking for a job but ends up killing the brother of a local drug dealer. Realising the corrupt nature of politics, he goes on a killing spree and kills ten people in 24 hours.","6,357"
2913. Rosh,2023,1h 53m,5.1, (63),Rajat Ronika and Alina hits a delivery boy on road and he dies on the spot. After some time door bell rings and an injured delivery boy enters in house stating he is late because someone hit him on road by a car and thrill starts.,63
2914. Jeete Hain Shaan Se,1988,,4.8, (163),"Johny, Govinda, and Iqbal Ali are three close friends who live in a small community in Bombay. The threesome get together to help each other and other needy people in the community, and hence get in the bad books of a local gangster who calls himself DK. Tragedy strikes Govinda, when his mom passes away. At the time of the funeral, Govinda is re-united with his dad, Advocate Verma, who has been missing for years. Then a police inspector gets Johny to meet his biological mother, Mary. The three friends rejoice over this good fortune. Then Johny finds out that Advocate Verma was behind the atrocities that were inflicted on his mom years ago, and he goes there to confront Verma, only to come against an enraged Govinda, who cannot believe his father is capable of committing any atrocities against anyone. It is now up to Iqbal to find a solution to end the enmity between Govinda and Johny, before DK takes advantage of this situation.",163
2915. Shaukeen,1982,2h 7m,7.2, (533),"Three friends, in their 60s, try to do everything that they couldn't do in their younger days - before death arrives.",533
2916. Kinara,1977,2h 19mNot Rated,6.9, (159),"Aarti, a dancer, is grieving over the death of her lover, Chandan. She is befriended by Inder who eventually falls in love with her. But a revelation about their connected past leaves them in shock.",159
2917. Jab Pyar Kisise Hota Hai,1961,2h 19m,6.7, (146),"Nisha lives a very wealthy lifestyle in Neelgaon, India, with her businessman dad, Sardar Roop Singh. She is now of marriageable age, and her dad wants her to marry his friend's son, Sohan, but Nisha dislikes him. While traveling to Darjeeling with a dance troupe, she meets with her dad's business associates' son, Popat Lal, and after a few misadventures, both fall in love with each other. She takes him to meet her dad where he can also finalize his business transaction, but when Roop comes inside, he finds that Popat has disappeared, and in his place is another man claiming to be the real Popat. Nisha heart is broken and she starts to hate Popat. She does meet with Popat, who tells her that his real name is Sunder and both had been promised to each other by their respective parents, but Roop had subsequently changed his mind. Nisha believes him and agrees to marry him without her father's blessings. When the marriage is to take place, a man named Khanna comes over and tells Nisha that Sunder is already married to woman named Shanti, who he subsequently killed, and had been the primary accused in this case by the police. Watch what impact this news has on the marriage, and see what excuses Sunder now comes up with.",146
2918. Ankahee,2006,2h 31m,4.7, (427),A dangerous beauty queen sinks her claws into the life of a married doctor and his family.,427
